ENGLISH WORD,THAI WORD,THAI SENTENCE,ENGLISH SENTENCE,EXTRACTED WORD,BLANKED SENTENCE,EXTRACTED THAI WORD,BLANKED THAI SENTENCE
"publish, (disseminate)",เผยแพร่,องค์กรนี้เผยแพร่รายงานฉบับหนึ่งก่อนถึงการประชุมเรื่องการเปลี่ยนแปลงภูมิอากาศที่กรุงลอนดอน,This organization published a report in the run-up to meetings in London on climate change.,publish,This organization _______ a report in the run-up to meetings in London on climate change.,เผยแพร่,องค์กรนี้_______รายงานฉบับหนึ่งก่อนถึงการประชุมเรื่องการเปลี่ยนแปลงภูมิอากาศที่กรุงลอนดอน
ratio,อัตราส่วน,จากการวิเคราะห์อัตราส่วนคาร์บอน-14 นักวิจัยสามารถคำนวณอายุของปลาหมึกชนิดนี้ได้,"By analyzing carbon-14 ratios, the researchers were able to calculate an age for this kind of squid.",ratio,"By analyzing carbon-14 _______, the researchers were able to calculate an age for this kind of squid.",อัตราส่วน,จากการวิเคราะห์_______คาร์บอน-14 นักวิจัยสามารถคำนวณอายุของปลาหมึกชนิดนี้ได้
reaction,ปฏิกิริยา,ปฏิกิริยาขั้นต้นจากนักวิทยาศาสตร์คือ ขอรอดูรายงานฉบับเต็ม,The first reaction from scientists was to wait and see the full report.,reaction,The first _______ from scientists was to wait and see the full report.,ปฏิกิริยา,_______ขั้นต้นจากนักวิทยาศาสตร์คือ ขอรอดูรายงานฉบับเต็ม
regime,ระบอบ,พวกเราเชื่อกันว่า การสิ้นสุดระบอบทักษิณ หมายถึงการสิ้นสุดการจำกัดเสรีภาพของสื่อมวลชนด้วย,We believed that the end of the Thaksin regime also meant the end of restrictions of the media freedom.,regime,We believed that the end of the Thaksin _______ also meant the end of restrictions of the media freedom.,ระบอบ,พวกเราเชื่อกันว่า การสิ้นสุด_______ทักษิณ หมายถึงการสิ้นสุดการจำกัดเสรีภาพของสื่อมวลชนด้วย
"register, v. (create an official record)",จดทะเบียน,นักวิจัยได้จดทะเบียนสิทธิบัตรสำหรับเทคโนโลยีนี้แล้ว,The researcher has registered a patent for this technology.,register,The researcher has _______ a patent for this technology.,จดทะเบียน,นักวิจัยได้_______สิทธิบัตรสำหรับเทคโนโลยีนี้แล้ว
"reject, v.",ปฏิเสธ,มิโลเซวิค ยืนกรานปฏิเสธที่จะรับผิดชอบเหตุการณ์นองเลือด,Milosevic firmly rejected responsibility for the bloodshed.,reject,Milosevic firmly _______ responsibility for the bloodshed.,ปฏิเสธ,มิโลเซวิค ยืนกราน_______ที่จะรับผิดชอบเหตุการณ์นองเลือด
"relax, (reduce)",ผ่อนปรน,การผ่อนปรนกฎเกณฑ์อาจจะส่งผลกระทบต่อการทำมาหากินของคนส่วนใหญ่,Relaxing the regulations might affect the livelihood of most people.,relax,Relaxing the regulations might affect the livelihood of most people.,ผ่อนปรน,การ_______กฎเกณฑ์อาจจะส่งผลกระทบต่อการทำมาหากินของคนส่วนใหญ่
research,วิจัย,คณะวิจัยจะสำรวจผลกระทบด้านสิ่งแวดล้อมเป็นระยะเวลา 10 ปี,The research team will survey the environmental impact for a period of 10 years.,research,The _______ team will survey the environmental impact for a period of 10 years.,วิจัย,คณะ_______จะสำรวจผลกระทบด้านสิ่งแวดล้อมเป็นระยะเวลา 10 ปี
resource,ทรัพยากร,เราสามารถสงวนทรัพยากรธรรมชาติ โดยการแบ่งปันการใช้ที่ดิน,We can conserve natural resources by sharing land.,resource,We can conserve natural _______ by sharing land.,ทรัพยากร,เราสามารถสงวน_______ธรรมชาติ โดยการแบ่งปันการใช้ที่ดิน
respond,ตอบสนอง,จีนตอบสนองอย่างรวดเร็วด้วยการกำหนดให้มีการประเมินสภาพการณ์และมูลค่าของระบบนิเวศน์ในประเทศ,China has responded promptly by requiring that action be taken to assess the situation and valuate the ecosystem in that country.,respond,China has _______ promptly by requiring that action be taken to assess the situation and valuate the ecosystem in that country.,ตอบสนอง,จีน_______อย่างรวดเร็วด้วยการกำหนดให้มีการประเมินสภาพการณ์และมูลค่าของระบบนิเวศน์ในประเทศ
restrict,จำกัด,ระบอบทักษิณจำกัดเสรีภาพของสื่อมวลชนในประเทศไทย,The Thaksin regime restricted the freedom of the media in Thailand.,restrict,The Thaksin regime _______ the freedom of the media in Thailand.,จำกัด,ระบอบทักษิณ_______เสรีภาพของสื่อมวลชนในประเทศไทย
reveal,เปิดเผย,โฆษกกระทรวงศึกษาธิการ เปิดเผยผลการประชุมคณะกรรมการการประถมศึกษาแห่งชาติ,A Ministry of Education spokesman revealed the results of the meeting of the National Primary Education Commission.,reveal,A Ministry of Education spokesman _______ the results of the meeting of the National Primary Education Commission.,เปิดเผย,โฆษกกระทรวงศึกษาธิการ _______ผลการประชุมคณะกรรมการการประถมศึกษาแห่งชาติ
revenue,รายได้,บริษัทต้องการปกป้องรายได้ประจำปีของบริษัทอย่างเต็มที่,The company is eager to protect its annual revenues.,revenue,The company is eager to protect its annual _______.,รายได้,บริษัทต้องการปกป้อง_______ประจำปีของบริษัทอย่างเต็มที่
revolution,การปฏิวัติ,ศิลปินใช้สีแดงแทนการปฏิวัติการทำงานของตัวศิลปินเอง,Artists use red to represent revolution in their work.,revolution,Artists use red to represent _______ in their work.,การปฏิวัติ,ศิลปินใช้สีแดงแทน_______การทำงานของตัวศิลปินเอง
route,เส้นทาง,ลูกหลานของตระกูลนี้ บ้างก็เดินบนเส้นทางธุรกิจ บ้างก็เป็นผู้นำในแวดวงการเมือง,"Some of the children in this family have gone the business route, others have become leaders in government.",route,"Some of the children in this family have gone the business _______, others have become leaders in government.",เส้นทาง,ลูกหลานของตระกูลนี้ บ้างก็เดินบน_______ธุรกิจ บ้างก็เป็นผู้นำในแวดวงการเมือง
scope,ขอบข่าย,ข้อตกลงแต่ละฉบับมีขอบข่ายแตกต่างกัน,Each of the agreements have a different scope.,scope,Each of the agreements have a different _______.,ขอบข่าย,ข้อตกลงแต่ละฉบับมี_______แตกต่างกัน
seek,แสวงหา,รัฐมนตรีต่างประเทศจะไปเยือนมอสโคว์เพื่อแสวงหาความสนับสนุน,"The Foreign Minister will visit Moscow, seeking support.",seek,"The Foreign Minister will visit Moscow, _______ support.",แสวงหา,รัฐมนตรีต่างประเทศจะไปเยือนมอสโคว์เพื่อ_______ความสนับสนุน
select,คัดเลือก,จีนหวังว่า เลขาธิการสหประชาชาติคนใหม่จะได้รับการคัดเลือกมาจากเอเซีย,China hopes that a new U.N. secretary general will be selected from Asia.,select,China hopes that a new U.N. secretary general will be _______ from Asia.,คัดเลือก,จีนหวังว่า เลขาธิการสหประชาชาติคนใหม่จะได้รับการ_______มาจากเอเซีย
"sex, (gender)",เพศ,เพศชายไวต่อรสเปรี้ยวมากกว่าเพศหญิง,The male gender is more sensitive to sour taste than the female gender.,sex,The male gender is more sensitive to sour taste than the female gender.,เพศ,_______ชายไวต่อรสเปรี้ยวมากกว่า_______หญิง
"sex, (sexual relations)",เพศสัมพันธ์,เขาถูกผู้พิพากษาตัดสินว่ามีความผิด คดีการมีเพศสัมพันธ์กับผู้เยาว์,He was found guilty of having sex with minors.,sex,He was found guilty of having _______ with minors.,เพศสัมพันธ์,เขาถูกผู้พิพากษาตัดสินว่ามีความผิด คดีการมี_______กับผู้เยาว์
simulation,การจำลอง,การทดสอบการชนเป็นการจำลองการชนขณะความเร็วรถต่ำ,The crash test is a simulation of low-speed crashes.,simulation,The crash test is a _______ of low-speed crashes.,การจำลอง,การทดสอบการชนเป็น_______การชนขณะความเร็วรถต่ำ
site,ที่ตั้ง,ในปี ค.ศ.1984 คณะทำงานจากกรมศิลปากรได้บังเอิญพบที่ตั้งของนครร้าง,"In 1984, a team from the Department of Fine Arts stumbled upon the site of the lost city.",site,"In 1984, a team from the Department of Fine Arts stumbled upon the _______ of the lost city.",ที่ตั้ง,ในปี ค.ศ.1984 คณะทำงานจากกรมศิลปากรได้บังเอิญพบ_______ของนครร้าง
"source, (general)",แหล่ง,ขณะนี้เรามีอิสระที่จะกำหนดหนังสือเรียนจากแหล่งต่างๆ ได้กว้างขวาง,Now we are free to create textbooks from a wide variety of sources.,source,Now we are free to create textbooks from a wide variety of _______.,แหล่ง,ขณะนี้เรามีอิสระที่จะกำหนดหนังสือเรียนจาก_______ต่างๆ ได้กว้างขวาง
"source, (news)",แหล่งข่าว,แหล่งข่าวแจ้งว่าพวกเขาต่างก็ได้รับการสนับสนุนจากสหรัฐ,Sources say that both of them receive support from the United States.,source,Sources say that both of them receive support from the United States.,แหล่งข่าว,_______แจ้งว่าพวกเขาต่างก็ได้รับการสนับสนุนจากสหรัฐ
specify,ระบุ,สิ่งที่เขาขอไม่ได้ถูกระบุออกมาชัดเจน,The thing he requested was not clearly specified.,specify,The thing he requested was not clearly _______.,ระบุ,สิ่งที่เขาขอไม่ได้ถูก_______ออกมาชัดเจน
"status, (condition)",สภาพ,การทราบสภาพเศรษฐกิจเป็นส่วนสำคัญของการเป็นนักธุรกิจที่ประสบความสำเร็จ,Knowing the status of the economy is an important part of being a successful businessman.,status,Knowing the _______ of the economy is an important part of being a successful businessman.,สภาพ,การทราบ_______เศรษฐกิจเป็นส่วนสำคัญของการเป็นนักธุรกิจที่ประสบความสำเร็จ
"status, (rank)",ฐานะ,นอกจากนั้นก็แบ่งตามอายุหรือว่าฐานะในสังคม,"Apart from that, they are categorized by age or social status.",status,"Apart from that, they are categorized by age or social _______.",ฐานะ,นอกจากนั้นก็แบ่งตามอายุหรือว่า_______ในสังคม
straightforward,ตรงไปตรงมา,เราต้องกล้าที่จะตั้งคำถามตรงไปตรงมากับรัฐบาลเฉพาะกาล,We must have courage to ask the interim government straighforward questions.,straightforward,We must have courage to ask the interim government _______ questions.,ตรงไปตรงมา,เราต้องกล้าที่จะตั้งคำถาม_______กับรัฐบาลเฉพาะกาล
"strategy, (tactic)",ยุทธวิธี,ยุทธวิธีของชาวกรีกก็คือการทำลายกองทัพเรือของเปอร์เซีย,The Greek strategy was to defeat the Persian navy.,strategy,The Greek _______ was to defeat the Persian navy.,ยุทธวิธี,_______ของชาวกรีกก็คือการทำลายกองทัพเรือของเปอร์เซีย
"stress, n.",ความเครียด,การทำสมาธิประจำวันจะช่วยผ่อนคลายความเครียดในใจ,Daily meditation can help to ease mental stress.,stress,Daily meditation can help to ease mental _______.,ความเครียด,การทำสมาธิประจำวันจะช่วยผ่อนคลาย_______ในใจ
"structure, (framework)",โครงสร้าง,โครงสร้างและสัดส่วนใบหน้าของชาวผิวขาวและชาวเอเชียมีความแตกต่างกัน,The facial structures and proportions of Caucasians and Asians are different.,structure,The facial _______ and proportions of Caucasians and Asians are different.,โครงสร้าง,_______และสัดส่วนใบหน้าของชาวผิวขาวและชาวเอเชียมีความแตกต่างกัน
"structure, (building)",สิ่งก่อสร้าง,กำแพงเมืองจีนหลงเหลืออยู่เพียงหนึ่งในสาม ซึ่งกระตุ้นให้เกิดข้อเรียกร้องให้คุ้มครองสิ่งก่อสร้างสำคัญแห่งนี้ก่อนสายเกินไป,"Barely one-third of China's Great Wall remains, prompting calls to protect the important structure before it is too late.",structure,"Barely one-third of China's Great Wall remains, prompting calls to protect the important _______ before it is too late.",สิ่งก่อสร้าง,กำแพงเมืองจีนหลงเหลืออยู่เพียงหนึ่งในสาม ซึ่งกระตุ้นให้เกิดข้อเรียกร้องให้คุ้มครอง_______สำคัญแห่งนี้ก่อนสายเกินไป
"style, n.",รูปแบบ,ครั้งหนึ่งเธอลองเขียนออกมาสองสามบทในรูปแบบอื่น,Once she wrote a couple of chapters in another style.,style,Once she wrote a couple of chapters in another _______.,รูปแบบ,ครั้งหนึ่งเธอลองเขียนออกมาสองสามบทใน_______อื่น
"style, n.",รูปแบบ,สินค้าหัตถกรรมไทยอาจมีรูปแบบออกจะโบราณสักหน่อย แต่มีชื่อเสียงในเรื่องความสวยงามและคงทน,"Thai handicrafts may be a bit conventional in style, but are well known for beauty and durability.",style,"Thai handicrafts may be a bit conventional in _______, but are well known for beauty and durability.",รูปแบบ,สินค้าหัตถกรรมไทยอาจมี_______ออกจะโบราณสักหน่อย แต่มีชื่อเสียงในเรื่องความสวยงามและคงทน
"submit, (present)",เสนอ,เมื่อได้ข้อสรุปอย่างไรแล้วก็จะนำเสนอคณะรัฐมนตรีต่อไป,Whatever conclusions are reached will then be submitted to the Cabinet.,submit,Whatever conclusions are reached will then be _______ to the Cabinet.,เสนอ,เมื่อได้ข้อสรุปอย่างไรแล้วก็จะนำ_______คณะรัฐมนตรีต่อไป
"substitute, v.",ใช้(...)แทน,ใช้น้ำผึ้งแทนน้ำตาล เพื่อปรุงรสหวานในน้ำชาหรืออาหาร,Substitute honey for sugar as a sweetener in your tea or foods.,substitute,Substitute honey for sugar as a sweetener in your tea or foods.,ใช้(...)แทน,ใช้น้ำผึ้งแทนน้ำตาล เพื่อปรุงรสหวานในน้ำชาหรืออาหาร
sufficient,เพียงพอ,ประเทศกำลังพัฒนาไม่มีความสามารถเพียงพอที่จะปฏิบัติตามนโยบาย,Developing countries don't have sufficient capacity to comply with the policy.,sufficient,Developing countries don't have _______ capacity to comply with the policy.,เพียงพอ,ประเทศกำลังพัฒนาไม่มีความสามารถ_______ที่จะปฏิบัติตามนโยบาย
summarize,สรุป,สรุปแล้วก็คือ ทุกวันนี้ นักเรียนไทยมีโอกาสที่จะไปเรียนต่อประเทศจีนได้หลากหลายทาง,"To summarize, nowadays Thai students have the opportunity to continue their education in China via various channels.",summarize,"To _______, nowadays Thai students have the opportunity to continue their education in China via various channels.",สรุป,_______แล้วก็คือ ทุกวันนี้ นักเรียนไทยมีโอกาสที่จะไปเรียนต่อประเทศจีนได้หลากหลายทาง
"supply, n. (economics)",อุปทาน,ถ้ามีความขัดแย้งเกิดขึ้น จะส่งผลกระทบต่ออุปทานน้ำมัน,"If conflicts arise, it will impact oil supplies.",supply,"If conflicts arise, it will impact oil _______.",อุปทาน,ถ้ามีความขัดแย้งเกิดขึ้น จะส่งผลกระทบต่อ_______น้ำมัน
supply and demand,อุปสงค์อุปทาน,ราคาข้าวในประเทศขึ้นอยู่กับอุปสงค์อุปทานของโลก,The domestic price of rice depends on global supply and demand.,supply and demand,The domestic price of rice depends on global _______ and demand.,อุปสงค์อุปทาน,ราคาข้าวในประเทศขึ้นอยู่กับ_______ของโลก
"survey, v.",สำรวจ,คณะวิจัยจะสำรวจผลกระทบด้านสิ่งแวดล้อมเป็นระยะเวลา 10 ปี,The research team will survey the environmental impact for a period of 10 years.,survey,The research team will _______ the environmental impact for a period of 10 years.,สำรวจ,คณะวิจัยจะ_______ผลกระทบด้านสิ่งแวดล้อมเป็นระยะเวลา 10 ปี
"survey, n.",การสำรวจ,นักดาราศาสตร์ได้ตรวจพบดาวเคราะห์น้อยในระหว่างการสำรวจระบบสุริยะส่วนนอก,Astronomers detected the asteroid during a survey of the outer solar system.,survey,Astronomers detected the asteroid during a _______ of the outer solar system.,การสำรวจ,นักดาราศาสตร์ได้ตรวจพบดาวเคราะห์น้อยในระหว่าง_______ระบบสุริยะส่วนนอก
symbol,สัญลักษณ์,สัญลักษณ์ต่าง ๆ ที่ปรากฎในความฝันบางเรื่องได้เปิดเผยให้เห็นความล่มสลายของจิตวิญญาณมนุษย์,Symbols appearing in some dreams reveal the collapse of the human spirit.,symbol,Symbols appearing in some dreams reveal the collapse of the human spirit.,สัญลักษณ์,_______ต่าง ๆ ที่ปรากฎในความฝันบางเรื่องได้เปิดเผยให้เห็นความล่มสลายของจิตวิญญาณมนุษย์
symbol,สัญลักษณ์,นายแมนเดลายังคงเป็นสัญลักษณ์ของความปรองดองและการรณรงค์สำหรับคนที่ด้อยโอกาสที่สุดของโลก,Mr Mandela remains a symbol of reconciliation and campaigner for the world's most disadvantaged.,symbol,Mr Mandela remains a _______ of reconciliation and campaigner for the world's most disadvantaged.,สัญลักษณ์,นายแมนเดลายังคงเป็น_______ของความปรองดองและการรณรงค์สำหรับคนที่ด้อยโอกาสที่สุดของโลก
"tape, (cassette, native word)",แถบบันทึก,จงหาหนังสือ แถบบันทึกเสียง ฯลฯ ในภาษาที่คุณต้องการสอนลูกของคุณ,"Have books, tapes, etc. in the language you wish to teach your child.",tape,"Have books, _______, etc. in the language you wish to teach your child.",แถบบันทึก,จงหาหนังสือ _______เสียง ฯลฯ ในภาษาที่คุณต้องการสอนลูกของคุณ
"tape, (cassette, loan word)",เทป,เธอแต่งบทละครวิทยุ แล้วขอร้องให้ผู้ใกล้ชิดแสดงแล้วบันทึกเทปบทละครไว้,She wrote radio plays and asked those around her to act and record the plays on tape.,tape,She wrote radio plays and asked those around her to act and record the plays on _______.,เทป,เธอแต่งบทละครวิทยุ แล้วขอร้องให้ผู้ใกล้ชิดแสดงแล้วบันทึก_______บทละครไว้
"tape, (record on cassette)",บันทึกเทป,เธอแต่งบทละครวิทยุ แล้วขอร้องให้ผู้ใกล้ชิดแสดงแล้วบันทึกเทปบทละครไว้,She wrote radio plays and asked those around her to act and record the plays on tape.,tape,She wrote radio plays and asked those around her to act and record the plays on _______.,บันทึกเทป,เธอแต่งบทละครวิทยุ แล้วขอร้องให้ผู้ใกล้ชิดแสดงแล้ว_______บทละครไว้
"target, n.",เป้าหมาย,เป้าหมายการกวาดล้างของญี่ปุ่นมีสองประเทศคือ ไทยกับฟิลิปปินส์,The two targets of the Japanese sweep operations were Thailand and the Philippines.,target,The two _______ of the Japanese sweep operations were Thailand and the Philippines.,เป้าหมาย,_______การกวาดล้างของญี่ปุ่นมีสองประเทศคือ ไทยกับฟิลิปปินส์
"team, (general)",ทีม,ทีมธรรมศาสตร์คว้ารางวัลชนะเลิศมาได้,The Thammasat team won the grand prize.,team,The Thammasat _______ won the grand prize.,ทีม,_______ธรรมศาสตร์คว้ารางวัลชนะเลิศมาได้
"team, (work)",ทีมงาน,ทีมงานหวังว่าจะนำระบบนี้มาใช้งานได้จริงในปี 2554,The team hopes that this system will be ready for use in 2011.,team,The _______ hopes that this system will be ready for use in 2011.,ทีมงาน,_______หวังว่าจะนำระบบนี้มาใช้งานได้จริงในปี 2554
technology,เทคโนโลยี,นักวิจัยได้จดทะเบียนสิทธิบัตรของเทคโนโลยีนี้แล้ว,The researcher has registered a patent for this technology.,technology,The researcher has registered a patent for this _______.,เทคโนโลยี,นักวิจัยได้จดทะเบียนสิทธิบัตรของ_______นี้แล้ว
temporary,ชั่วคราว,ขั้นแรกก็คือจัดให้มีรัฐบาลพลเรือนชั่วคราวขึ้นมา,The first step was to establish a temporary civilian government.,temporary,The first step was to establish a _______ civilian government.,ชั่วคราว,ขั้นแรกก็คือจัดให้มีรัฐบาลพลเรือน_______ขึ้นมา
theme,แก่นเรื่อง,หนังสือของเขามีแก่นเรื่องที่แปลกประหลาด จึงได้รับความสนใจมาก,His books had odd themes that aroused much attention.,theme,His books had odd _______ that aroused much attention.,แก่นเรื่อง,หนังสือของเขามี_______ที่แปลกประหลาด จึงได้รับความสนใจมาก
theory,ทฤษฎี,ไม่เคยมีทฤษฎีใดสามารถอธิบายเสียงเหล่านี้จนเป็นที่พอใจ,No theory has ever been able to satisfactorily explain these noises.,theory,No _______ has ever been able to satisfactorily explain these noises.,ทฤษฎี,ไม่เคยมี_______ใดสามารถอธิบายเสียงเหล่านี้จนเป็นที่พอใจ
transfer,ถ่ายโอน,ข้าวหลากสีผลิตด้วยการใช้สารเคมีถ่ายโอนยีนเข้าไปในข้าว,Multi-colored rice is produced by using chemicals to transfer a gene into the rice.,transfer,Multi-colored rice is produced by using chemicals to _______ a gene into the rice.,ถ่ายโอน,ข้าวหลากสีผลิตด้วยการใช้สารเคมี_______ยีนเข้าไปในข้าว
transmit,ส่งผ่าน,แสงได้รับการเปลี่ยนให้เป็นสัญญาณไฟฟ้า และส่งผ่านไปยังประสาทตา,Light is transformed into electrical signals and then transmitted to the optic nerves.,transmit,Light is _______ into electrical signals and then _______ to the optic nerves.,ส่งผ่าน,แสงได้รับการเปลี่ยนให้เป็นสัญญาณไฟฟ้า และ_______ไปยังประสาทตา
"transport, v.",ขนส่ง,รถไฟนั้นใช้ขนส่งสินค้าระหว่างเมืองต่าง ๆ,Trains are used to transport goods between various cities.,transport,Trains are used to _______ goods between various cities.,ขนส่ง,รถไฟนั้นใช้_______สินค้าระหว่างเมืองต่าง ๆ
"ultimate, (highest)",สูงสุด,เป้าหมายสูงสุดของรัฐบาลชุดปัจจุบัน คือการแก้ไขรัฐธรรมนูญ,The ultimate goal of the present government is to amend the constitution.,ultimate,The _______ goal of the present government is to amend the constitution.,สูงสุด,เป้าหมาย_______ของรัฐบาลชุดปัจจุบัน คือการแก้ไขรัฐธรรมนูญ
"uniform, n.",เครื่องแบบ,มีทหารคนหนึ่งยืนอยู่หน้าประตู แต่งกายด้วยเครื่องแบบสีเขียว,"There was a soldier standing at the door, dressed in a green uniform.",uniform,"There was a soldier standing at the door, dressed in a green _______.",เครื่องแบบ,มีทหารคนหนึ่งยืนอยู่หน้าประตู แต่งกายด้วย_______สีเขียว
"vehicle, (motor)",ยานพาหนะ,ผู้คนเดินทางไปมา ด้วยยานพาหนะประเภทต่างๆ,People travel in all sorts of vehicles.,vehicle,People travel in all sorts of _______.,ยานพาหนะ,ผู้คนเดินทางไปมา ด้วย_______ประเภทต่างๆ
"vehicle, (general)",พาหนะ,วัตรปฏิบัตินั้นเป็นพาหนะนำไปสู่การสอนธรรมะได้,Rituals can serve as a vehicle of dhamma teaching.,vehicle,Rituals can serve as a _______ of dhamma teaching.,พาหนะ,วัตรปฏิบัตินั้นเป็น_______นำไปสู่การสอนธรรมะได้
violate,ละเมิด,ท่านอาจารย์กล่าวด้วยว่า ประชาธิปไตยของไทยยังไม่เจริญเต็มที่ และการละเมิดกฎข้อบังคับบ่อยครั้งเกินไป เกิดอันตรายได้นะครับ,The professor also said that violating the regulations too often could be dangerous.,violate,The professor also said that _______ the regulations too often could be dangerous.,ละเมิด,ท่านอาจารย์กล่าวด้วยว่า ประชาธิปไตยของไทยยังไม่เจริญเต็มที่ และการ_______กฎข้อบังคับบ่อยครั้งเกินไป เกิดอันตรายได้นะครับ
"vision, (foresight)",วิสัยทัศน์,ประธานวุฒิสภาต้องมีอุดมคติ และมีวิสัยทัศน์,The president of the senate must have ideology and vision.,vision,The president of the senate must have ideology and _______.,วิสัยทัศน์,ประธานวุฒิสภาต้องมีอุดมคติ และมี_______
"volunteer, v.",อาสา,บรรณาธิการอาสาจะจัดพิมพ์นวนิยายเรื่องนี้ทันทีที่เสร็จสมบูรณ์,The editor volunteered to print the novel as soon as it was finished.,volunteer,The editor _______ to print the novel as soon as it was finished.,อาสา,บรรณาธิการ_______จะจัดพิมพ์นวนิยายเรื่องนี้ทันทีที่เสร็จสมบูรณ์
"volunteer, n.",อาสาสมัคร,ทันตแพทย์อาสาสมัครช่วยพิสูจน์เอกลักษณ์ศพมากมายที่เกิดจากคลื่นยักษ์,Volunteer dentists are helping to identify the many corpses left in the wake of the tsunami,volunteer,Volunteer dentists are helping to identify the many corpses left in the wake of the tsunami,อาสาสมัคร,ทันตแพทย์_______ช่วยพิสูจน์เอกลักษณ์ศพมากมายที่เกิดจากคลื่นยักษ์
"welfare, (well-being)",สวัสดิภาพ,เขาห่วงสวัสดิภาพของครอบครัว,He was concerned for the welfare of his family.,welfare,He was concerned for the _______ of his family.,สวัสดิภาพ,เขาห่วง_______ของครอบครัว
"welfare, (social program)",สวัสดิการ,รัฐบาลได้อนุมัติโครงการจัดสวัสดิการเร่งด่วนแก่ผู้ยากไร้,The government approved a program to provide urgent welfare to the underprivileged.,welfare,The government approved a program to provide urgent _______ to the underprivileged.,สวัสดิการ,รัฐบาลได้อนุมัติโครงการจัด_______เร่งด่วนแก่ผู้ยากไร้
